canonical_taxon_id,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,habitat_suitability
aepeomys_lugens,23.47,8.02,88.91,979.2,28.43,19.41,9.02,24.37,22.56,26.62,20.31,1857.38,206.11,113.72,26.53,577.1,284.3,516.84,344.56,237.3,0.9503
aepyceros_melampus,18.91,8.9,59.46,2323.8,27.15,12.17,14.97,20.41,17.41,24.15,13.67,1281.67,154.19,68.9,35.49,431.73,172.25,362.39,241.59,306.0,0.9925
aepyprymnus_rufescens,11.87,10.15,38.64,4716.0,26.31,0.04,26.27,14.49,9.24,21.06,2.67,478.98,65.58,19.38,51.44,183.62,48.46,139.25,92.83,265.3,0.7376
aeromys_tephromelas,24.94,7.76,88.59,466.2,29.76,21.0,8.76,25.82,24.06,28.01,21.87,1975.39,212.17,126.58,23.11,594.06,316.44,546.3,364.2,251.7,0.9228
aeromys_thomasi,24.48,7.9,88.76,486.0,29.37,20.47,8.9,25.37,23.59,27.59,21.36,1962.97,211.1,125.56,23.24,591.08,313.91,543.0,362.0,313.5,0.932
aethalops_alecto,25.3,7.7,88.51,340.2,30.08,21.38,8.7,26.17,24.43,28.34,22.25,1991.9,212.2,129.03,22.27,594.15,322.57,550.03,366.69,255.9,0.9154
aethomys_chrysophilus,16.94,9.24,50.71,3013.2,26.97,8.74,18.23,18.76,15.12,23.32,10.56,969.98,121.34,48.43,40.09,339.74,121.07,276.49,184.32,285.0,0.9707
aethomys_hindei,24.31,7.95,88.82,493.2,29.23,20.29,8.95,25.21,23.42,27.44,21.18,1958.45,210.71,125.2,23.29,590.0,312.99,541.79,361.2,335.7,0.9352
aethomys_kaiseri,21.05,8.53,74.36,1582.2,27.36,15.89,11.47,22.2,19.9,25.06,17.03,1619.6,186.5,93.74,30.55,522.21,234.34,453.93,302.62,325.6,0.983
ailuropoda_melanoleuca,10.65,10.21,33.87,5536.8,27.23,-2.92,30.15,13.66,7.63,21.2,0.1,462.42,65.95,16.6,56.91,184.66,41.51,135.7,90.47,67.0,0.7032
ailurops_ursinus,24.37,7.98,88.86,354.6,29.31,20.33,8.98,25.27,23.47,27.51,21.23,1969.83,210.04,127.44,22.36,588.12,318.6,544.03,362.69,391.7,0.9341
ailurus_fulgens,12.26,9.88,35.12,5108.4,27.73,-0.39,28.12,15.08,9.45,22.11,2.42,478.32,66.79,18.31,54.06,187.02,45.78,139.68,93.12,19.7,0.7443
akodon_aerosus,21.64,8.34,72.4,1593.0,27.98,16.46,11.52,22.8,20.49,25.68,17.61,1629.49,187.77,94.21,30.62,525.74,235.53,456.76,304.51,228.9,0.9765
akodon_affinis,23.59,7.97,88.85,1006.2,28.52,19.55,8.97,24.48,22.69,26.73,20.45,1853.68,206.04,113.22,26.71,576.92,283.04,515.98,343.99,206.2,0.9482
akodon_albiventer,15.04,9.53,43.59,3783.6,27.07,5.2,21.87,17.23,12.85,22.69,7.39,693.55,90.47,31.66,45.22,253.31,79.15,199.47,132.98,215.2,0.8914
akodon_azarae,10.26,10.41,35.64,5337.0,26.32,-2.88,29.2,13.18,7.34,20.48,0.04,439.4,62.06,16.27,55.58,173.76,40.66,128.65,85.77,220.9,0.6806
akodon_bogotensis,23.11,8.09,88.36,1090.8,28.14,18.99,9.15,24.02,22.19,26.31,19.9,1821.23,203.51,110.38,27.27,569.82,275.95,507.46,338.31,240.0,0.9563
akodon_boliviensis,15.29,9.48,43.87,3727.8,27.17,5.57,21.6,17.45,13.13,22.85,7.73,712.89,92.71,32.76,44.85,259.6,81.91,204.9,136.6,203.3,0.9009
akodon_budini,13.7,9.78,40.85,4221.0,26.87,2.93,23.93,16.1,11.31,22.08,5.33,575.78,76.86,24.88,48.14,215.19,62.21,166.44,110.96,215.3,0.8222
akodon_cursor,13.52,9.92,43.26,4006.8,26.12,3.2,22.92,15.81,11.23,21.54,5.5,609.6,80.46,27.07,46.71,225.29,67.68,175.78,117.19,344.5,0.8365
akodon_dayi,18.13,9.02,54.78,2640.6,27.18,10.72,16.47,19.77,16.48,23.89,12.36,1137.28,139.32,59.14,37.6,390.1,147.84,322.76,215.18,277.7,0.9877
akodon_dolores,9.76,10.46,34.35,5599.8,26.51,-3.94,30.44,12.81,6.72,20.42,-0.89,447.91,64.08,15.93,57.33,179.41,39.82,131.54,87.69,173.1,0.6748
akodon_fumeus,16.58,9.28,48.37,3214.8,27.13,7.95,19.18,18.49,14.66,23.29,9.86,892.19,112.85,43.54,41.43,315.99,108.86,254.91,169.94,246.2,0.9572
akodon_iniscatus,3.3,11.52,27.51,8017.2,26.32,-15.53,41.86,7.49,-0.88,17.95,-11.35,818.66,130.86,18.11,73.45,366.4,45.29,247.01,164.67,30.8,0.6812
akodon_juninensis,21.0,8.43,65.68,1872.0,28.06,15.22,12.84,22.29,19.72,25.5,16.51,1510.25,176.95,84.98,32.48,495.46,212.44,424.74,283.16,196.5,0.9827
akodon_kofordi,18.95,8.84,56.48,2466.0,27.55,11.91,15.64,20.51,17.38,24.42,13.47,1225.38,148.63,64.9,36.44,416.16,162.26,347.05,231.37,233.4,0.9905
akodon_latebricola,25.68,7.58,88.35,343.8,30.4,21.82,8.58,26.54,24.82,28.68,22.68,2000.57,213.17,129.55,22.29,596.87,323.87,552.45,368.3,195.4,0.9072
akodon_lindberghi,17.55,9.24,57.62,2547.0,26.37,10.34,16.03,19.16,15.95,23.16,11.94,1160.91,141.46,60.97,36.98,396.09,152.42,329.11,219.4,410.0,0.9888
akodon_lutescens,15.41,9.48,44.78,3634.2,27.05,5.88,21.16,17.52,13.29,22.81,8.0,739.7,95.72,34.38,44.23,268.01,85.95,212.38,141.58,229.0,0.9112
akodon_mimus,17.62,9.1,52.05,2853.0,27.23,9.76,17.47,19.37,15.88,23.74,11.51,1044.35,129.48,53.07,39.02,362.54,132.68,297.13,198.08,255.0,0.9806
akodon_molinae,7.01,10.92,31.01,6607.8,26.37,-8.83,35.2,10.53,3.49,19.33,-5.31,556.07,83.44,16.66,64.05,233.63,41.64,165.17,110.11,123.5,0.6716
akodon_mollis,24.92,7.72,88.53,597.6,29.71,20.99,8.72,25.79,24.04,27.97,21.86,1960.79,212.39,124.21,23.98,594.68,310.52,543.12,362.08,193.6,0.9232
akodon_neocenus,5.7,11.14,29.71,7090.2,26.31,-11.17,37.48,9.45,1.95,18.82,-7.42,644.37,98.85,17.58,67.27,276.78,43.94,192.43,128.29,98.2,0.6819
akodon_orophilus,22.81,8.1,80.83,1276.2,28.33,18.3,10.03,23.82,21.81,26.32,19.31,1761.82,199.14,104.96,28.51,557.58,262.41,492.0,328.0,197.8,0.9609
akodon_sanctipaulensis,12.86,10.04,42.01,4213.8,26.0,2.1,23.9,15.25,10.47,21.22,4.49,557.4,74.37,24.11,48.09,208.24,60.28,161.11,107.41,348.8,0.7998
akodon_serrensis,12.4,10.11,40.77,4402.8,26.03,1.24,24.79,14.88,9.92,21.08,3.72,520.23,70.1,21.96,49.35,196.27,54.89,150.7,100.47,330.4,0.7714
akodon_siberiae,16.72,9.26,49.28,3133.8,27.06,8.26,18.8,18.6,14.84,23.3,10.14,922.82,116.21,45.46,40.89,325.39,113.64,263.42,175.61,261.7,0.963
akodon_simulator,12.76,9.95,39.24,4521.6,26.71,1.35,25.35,15.3,10.23,21.64,3.89,515.43,69.88,21.41,50.14,195.65,53.54,149.51,99.67,218.6,0.7747
akodon_spegazzinii,12.49,9.98,38.49,4645.8,26.76,0.82,25.94,15.09,9.9,21.57,3.41,498.28,67.98,20.36,50.97,190.34,50.89,144.74,96.5,202.0,0.7602
akodon_subfuscus,18.96,8.83,56.11,2484.0,27.61,11.88,15.73,20.53,17.39,24.47,13.46,1218.51,147.95,64.42,36.56,414.25,161.05,345.18,230.12,222.8,0.9902
akodon_surdus,19.53,8.71,58.23,2322.0,27.76,12.79,14.96,21.02,18.03,24.76,14.29,1296.59,155.97,69.71,35.48,436.71,174.28,366.6,244.4,212.2,0.9904
akodon_sylvanus,14.62,9.63,43.33,3861.0,26.85,4.61,22.23,16.84,12.39,22.4,6.84,665.85,87.21,30.11,45.74,244.2,75.27,191.68,127.79,243.8,0.8759
akodon_toba,13.94,9.79,42.74,4001.4,26.53,3.64,22.9,16.23,11.65,21.96,5.93,620.48,81.87,27.57,46.68,229.25,68.93,178.91,119.27,281.7,0.8475
akodon_torques,19.15,8.79,57.0,2419.2,27.64,12.21,15.42,20.69,17.61,24.55,13.75,1248.84,151.07,66.47,36.13,422.99,166.18,353.5,235.67,224.0,0.9906
akodon_varius,15.7,9.45,46.33,3472.2,26.91,6.52,20.4,17.74,13.66,22.83,8.56,791.54,101.54,37.5,43.15,284.3,93.75,226.83,151.22,260.8,0.929
alcelaphus_buselaphus,23.38,8.02,88.91,1045.8,28.34,19.33,9.02,24.29,22.48,26.54,20.23,1839.23,204.94,111.93,26.97,573.84,279.82,512.2,341.47,218.6,0.9518
alcelaphus_caama,14.8,9.56,42.62,3902.4,27.14,4.71,22.43,17.05,12.56,22.65,6.95,660.95,86.76,29.73,46.02,242.93,74.33,190.36,126.91,196.0,0.8759
alcelaphus_lichtensteinii,19.39,8.85,63.7,2093.4,27.02,13.14,13.89,20.78,18.0,24.25,14.53,1385.47,164.46,76.25,33.96,460.49,190.63,390.67,260.45,341.0,0.9931
alionycteris_paucidentata,21.09,8.58,80.36,1414.8,26.96,16.28,10.68,22.15,20.02,24.82,17.35,1677.97,191.27,98.68,29.43,535.57,246.69,469.36,312.9,398.6,0.9829
allactaga_elater,5.89,11.07,29.49,7102.8,26.53,-11.01,37.54,9.64,2.13,19.03,-7.25,651.96,100.07,17.74,67.35,280.2,44.34,194.73,129.82,63.2,0.69
allactaga_tetradactyla,9.88,10.44,34.63,5540.4,26.47,-3.69,30.16,12.9,6.86,20.44,-0.68,445.08,63.49,15.97,56.94,177.76,39.93,130.62,87.08,183.1,0.6757
allenopithecus_nigroviridis,26.08,7.58,88.34,50.0,30.8,22.22,8.58,26.94,25.22,29.08,23.08,2007.7,209.56,133.51,20.2,586.77,333.76,552.32,368.22,281.0,0.8984
allocebus_trichotis,16.34,9.44,52.15,2986.2,26.3,8.19,18.1,18.15,14.53,22.68,10.0,965.81,120.63,48.36,39.91,337.77,120.91,275.21,183.47,390.0,0.9674
alouatta_belzebul,21.41,8.56,87.48,1224.0,26.79,17.01,9.78,22.39,20.44,24.84,17.99,1745.08,196.61,104.47,28.16,550.51,261.18,487.02,324.68,437.9,0.9796
alouatta_caraya,14.62,9.71,45.61,3661.2,26.33,5.04,21.29,16.75,12.49,22.07,7.17,714.37,92.58,33.09,44.41,259.21,82.74,205.17,136.78,337.9,0.8946
alouatta_guariba,14.0,9.85,44.83,3803.4,26.08,4.12,21.96,16.19,11.8,21.68,6.31,664.81,86.81,30.27,45.36,243.07,75.68,191.25,127.5,366.2,0.8679
alouatta_palliata,23.23,7.99,80.61,1251.0,28.68,18.77,9.91,24.22,22.24,26.7,19.76,1779.04,200.77,106.24,28.34,562.16,265.6,496.66,331.1,145.5,0.9542
alouatta_pigra,17.12,9.05,45.28,3384.0,28.11,8.13,19.98,19.12,15.12,24.11,10.13,850.8,108.62,40.72,42.56,304.13,101.81,243.57,162.38,83.1,0.9512
alouatta_sara,17.96,9.07,54.93,2649.6,27.04,10.53,16.51,19.61,16.31,23.74,12.18,1129.95,138.49,58.7,37.66,387.78,146.74,320.72,213.81,299.0,0.9873
alouatta_seniculus,25.77,7.64,88.42,122.4,30.52,21.88,8.64,26.63,24.91,28.79,22.75,2004.64,210.52,132.28,20.82,589.46,330.7,552.09,368.06,285.4,0.9053
alticola_argentatus,6.12,10.98,29.03,7162.2,26.92,-10.9,37.82,9.9,2.33,19.35,-7.12,672.56,103.51,18.08,67.75,289.83,45.19,201.01,134.01,0.0,0.7044
alticola_roylei,10.59,10.19,33.34,5626.8,27.4,-3.17,30.57,13.65,7.53,21.29,-0.11,469.62,67.27,16.63,57.51,188.35,41.57,137.95,91.97,33.7,0.7063
alticola_stoliczkanus,9.59,10.35,31.88,6026.4,27.44,-5.02,32.46,12.83,6.34,20.95,-1.77,499.86,72.99,16.59,60.18,204.36,41.47,147.5,98.33,0.0,0.7023
alticola_strelzowi,1.24,11.87,26.16,8757.0,26.19,-19.17,45.35,5.78,-3.29,17.12,-14.63,895.97,147.82,16.14,78.38,413.88,40.36,272.54,181.7,0.0,0.6499
amblysomus_hottentotus,10.3,10.39,35.48,5353.2,26.4,-2.88,29.28,13.23,7.37,20.55,0.05,441.26,62.37,16.29,55.69,174.63,40.74,129.22,86.15,206.8,0.6827
ametrida_centurio,24.31,7.99,88.87,392.4,29.25,20.26,8.99,25.21,23.41,27.45,21.16,1966.29,210.18,126.8,22.62,588.5,317.0,543.3,362.2,383.5,0.9352
ammodillus_imbellis,21.22,8.59,85.33,1285.2,26.76,16.69,10.07,22.23,20.21,24.74,17.7,1722.29,194.78,102.52,28.57,545.38,256.31,481.01,320.67,438.9,0.9816
ammodorcas_clarkei,21.73,8.5,89.47,1112.4,26.96,17.46,9.5,22.68,20.78,25.06,18.41,1783.78,199.59,107.89,27.42,558.85,269.74,497.15,331.44,441.3,0.9759
ammospermophilus_harrisii,9.47,10.47,33.34,5803.2,26.74,-4.66,31.4,12.61,6.33,20.46,-1.52,464.35,67.08,15.99,58.69,187.83,39.97,136.68,91.12,122.8,0.6782
ammospermophilus_interpres,11.0,10.14,34.27,5421.6,27.28,-2.32,29.6,13.96,8.04,21.36,0.64,461.73,65.48,16.87,56.14,183.35,42.19,135.32,90.21,66.3,0.7101
ammospermophilus_leucurus,8.72,10.61,32.68,6030.0,26.58,-5.9,32.47,11.96,5.47,20.08,-2.65,480.38,70.16,15.93,60.2,196.43,39.83,141.76,94.51,132.1,0.6703
ammospermophilus_nelsoni,7.15,10.94,31.79,6438.6,26.07,-8.33,34.4,10.59,3.71,19.19,-4.89,521.86,77.69,16.12,62.92,217.54,40.31,154.71,103.14,180.7,0.6561
ammotragus_lervia,13.82,9.64,38.4,4471.2,27.64,2.52,25.11,16.33,11.31,22.61,5.03,545.15,73.71,22.8,49.81,206.4,57.0,158.04,105.36,79.3,0.8075
anathana_ellioti,18.33,8.87,50.39,2880.0,28.01,10.41,17.6,20.09,16.57,24.49,12.17,1050.5,130.44,53.23,39.2,365.22,133.06,298.97,199.31,134.3,0.9812
andalgalomys_olrogi,11.62,10.13,36.83,4975.2,26.74,-0.75,27.49,14.37,8.87,21.24,2.0,463.55,64.3,18.09,53.17,180.05,45.23,135.16,90.11,181.4,0.7235
andalgalomys_pearsoni,15.01,9.6,45.54,3619.8,26.61,5.52,21.09,17.12,12.9,22.39,7.63,734.36,94.96,34.19,44.13,265.88,85.47,210.81,140.54,297.0,0.9056
andinomys_edax,14.26,9.66,41.65,4066.2,27.02,3.82,23.2,16.58,11.94,22.38,6.14,615.24,81.46,27.12,47.11,228.09,67.79,177.53,118.35,202.8,0.8492
anisomys_imitator,21.59,8.51,88.0,1200.6,26.91,17.24,9.67,22.56,20.63,24.98,18.21,1756.05,197.56,105.36,28.0,553.17,263.39,489.94,326.63,421.1,0.9776
anomalurus_beecrofti,24.29,7.8,88.64,880.2,29.13,20.32,8.8,25.17,23.41,27.37,21.2,1898.38,209.35,117.28,25.87,586.18,293.19,527.62,351.75,157.6,0.9355
anomalurus_derbianus,24.21,7.86,88.71,799.2,29.08,20.22,8.86,25.1,23.32,27.31,21.11,1912.7,209.86,119.02,25.33,587.6,297.55,531.09,354.06,207.4,0.9371
anomalurus_pelii,23.61,7.92,85.72,1110.6,28.69,19.45,9.24,24.53,22.68,26.84,20.37,1827.52,204.46,110.56,27.4,572.49,276.4,509.33,339.55,153.8,0.9478
anomalurus_pusillus,26.54,7.41,88.11,93.6,31.17,22.76,8.41,27.39,25.7,29.49,23.6,2021.52,211.89,133.72,20.62,593.29,334.29,556.55,371.03,180.0,0.888
anotomys_leander,25.93,7.54,88.29,257.4,30.63,22.09,8.54,26.79,25.08,28.92,22.95,2009.18,212.88,131.07,21.72,596.07,327.68,554.25,369.5,196.7,0.9018
anoura_caudifer,21.11,8.56,78.5,1461.6,27.1,16.2,10.9,22.2,20.02,24.92,17.29,1662.84,190.09,97.35,29.74,532.25,243.38,465.38,310.25,373.3,0.9826
anoura_cultrata,25.57,7.63,88.41,306.0,30.32,21.69,8.63,26.43,24.71,28.59,22.55,1999.52,212.53,129.9,22.04,595.09,324.76,551.91,367.94,230.1,0.9096
anoura_geoffroyi,26.2,7.54,88.28,50.0,30.9,22.36,8.54,27.06,25.35,29.19,23.21,2011.33,210.14,133.59,20.3,588.4,333.97,553.42,368.95,255.5,0.8957
anoura_latidens,20.85,8.54,70.26,1726.2,27.53,15.38,12.15,22.06,19.63,25.1,16.59,1562.27,181.46,89.17,31.51,508.1,222.92,438.61,292.41,289.1,0.9846
anourosorex_squamipes,13.44,9.7,37.59,4618.8,27.64,1.83,25.81,16.02,10.86,22.47,4.41,522.29,71.16,21.42,50.79,199.24,53.54,151.67,101.11,68.7,0.7893
antechinomys_laniger,11.04,10.34,38.27,4876.2,25.9,-1.13,27.03,13.74,8.33,20.5,1.58,452.31,62.43,17.9,52.51,174.81,44.75,131.74,87.83,317.6,0.7051
antechinus_agilis,6.6,11.06,31.63,6559.2,25.84,-9.13,34.97,10.1,3.11,18.85,-5.64,535.72,80.21,16.19,63.73,224.58,40.48,159.04,106.02,208.3,0.6501
antechinus_bellus,18.19,9.12,60.93,2323.8,26.43,11.45,14.97,19.69,16.7,23.43,12.95,1265.11,152.2,68.01,35.49,426.15,170.02,357.7,238.47,416.5,0.9934
antechinus_flavipes,11.09,10.34,38.46,4845.6,25.87,-1.01,26.88,13.78,8.4,20.5,1.68,454.59,62.65,18.07,52.3,175.42,45.17,132.35,88.24,323.9,0.7075
antechinus_godmani,15.84,9.5,49.35,3229.2,26.43,7.18,19.25,17.76,13.91,22.58,9.1,870.4,110.19,42.41,41.53,308.52,106.03,248.73,165.82,353.0,0.9485
antechinus_leo,18.26,9.09,60.14,2354.4,26.58,11.46,15.12,19.77,16.75,23.55,12.97,1254.34,151.17,67.22,35.7,423.27,168.04,354.79,236.52,391.6,0.993
antechinus_minimus,4.63,11.41,29.89,7236.0,25.62,-12.55,38.17,8.44,0.81,17.98,-8.73,657.26,101.49,17.4,68.24,284.18,43.49,196.6,131.07,194.6,0.6605
antechinus_stuartii,11.63,10.19,38.11,4813.2,26.33,-0.4,26.73,14.3,8.96,20.99,2.28,468.44,64.45,18.7,52.09,180.47,46.76,136.34,90.89,255.6,0.7267
antechinus_swainsonii,7.46,10.91,32.42,6276.6,25.96,-7.68,33.64,10.83,4.1,19.24,-4.31,495.82,73.26,15.77,61.84,205.13,39.41,146.73,97.82,209.2,0.6487
antidorcas_marsupialis,15.36,9.45,43.71,3733.2,27.25,5.62,21.63,17.52,13.19,22.93,7.79,713.11,92.77,32.75,44.89,259.75,81.88,204.98,136.65,190.4,0.9016
antilocapra_americana,7.21,10.82,30.37,6697.8,26.81,-8.82,35.63,10.77,3.65,19.68,-5.26,581.79,87.66,17.14,64.65,245.46,42.84,172.98,115.32,49.8,0.6901
antilope_cervicapra,16.75,9.16,45.97,3375.0,27.71,7.78,19.94,18.74,14.75,23.73,9.77,844.95,107.82,40.49,42.5,301.89,101.22,241.87,161.25,144.7,0.9485
antrozous_pallidus,9.0,10.45,31.34,6217.2,27.35,-6.01,33.36,12.34,5.67,20.68,-2.67,519.99,76.62,16.71,61.45,214.53,41.76,153.77,102.52,0.0,0.7002
aonyx_capensis,21.9,8.26,71.48,1600.2,28.26,16.7,11.56,23.06,20.75,25.95,17.86,1632.87,188.24,94.34,30.67,527.06,235.85,457.75,305.17,185.8,0.9732
aonyx_cinerea,20.82,8.43,61.95,2034.0,28.3,14.69,13.61,22.18,19.46,25.58,16.05,1442.2,170.6,79.85,33.56,477.68,199.62,406.38,270.92,149.0,0.9837
aotus_azarae,16.74,9.28,50.2,3069.0,26.91,8.42,18.49,18.59,14.89,23.21,10.27,945.68,118.66,46.92,40.46,332.26,117.3,269.74,179.82,289.2,0.9666
aotus_hershkovitzi,24.58,7.81,88.65,628.2,29.42,20.61,8.81,25.46,23.7,27.66,21.49,1948.97,211.52,123.13,24.19,592.26,307.82,540.05,360.03,231.1,0.93
aotus_lemurinus,23.27,8.02,86.49,1117.8,28.38,19.1,9.28,24.2,22.35,26.52,20.03,1817.88,203.47,109.9,27.45,569.73,274.76,506.69,337.79,201.8,0.9536
aotus_miconax,23.42,8.0,88.2,1072.8,28.41,19.34,9.07,24.33,22.51,26.59,20.25,1833.16,204.61,111.29,27.15,572.91,278.21,510.67,340.45,200.3,0.9511
aotus_nancymaae,23.81,7.97,88.85,826.2,28.74,19.77,8.97,24.71,22.91,26.95,20.67,1898.26,208.63,117.84,25.51,584.16,294.59,527.25,351.5,256.6,0.9444
aotus_nigriceps,21.77,8.38,79.37,1389.6,27.58,17.01,10.56,22.82,20.71,25.46,18.07,1701.93,193.71,100.32,29.26,542.38,250.81,475.91,317.28,305.8,0.9752
aotus_trivirgatus,23.66,8.05,88.95,747.0,28.64,19.59,9.05,24.57,22.76,26.83,20.5,1909.46,208.81,119.37,24.98,584.66,298.43,529.86,353.24,316.1,0.9471
aotus_vociferans,25.6,7.67,88.46,190.8,30.36,21.7,8.67,26.46,24.73,28.63,22.56,2001.79,211.17,131.33,21.27,591.28,328.33,551.77,367.84,279.9,0.909
aplodontia_rufa,3.3,11.61,28.49,7779.6,25.71,-15.03,40.74,7.38,-0.77,17.56,-10.95,764.2,120.89,17.92,71.86,338.49,44.8,229.97,153.32,142.2,0.6665
apodemus_agrarius,4.99,11.18,28.27,7529.4,26.75,-12.81,39.56,8.95,1.04,18.84,-8.85,741.27,115.97,18.41,70.2,324.73,46.03,222.45,148.3,0.0,0.701
apodemus_flavicollis,-0.45,12.22,25.74,9201.6,25.65,-21.81,47.45,4.29,-5.2,16.15,-17.06,889.17,149.44,13.82,81.34,418.43,34.56,271.79,181.2,51.9,0.6135
